country,electricity_demand_per_capita,temperature_change_c,co2_per_capita,gdp,renewables_share_elec,fossil_share_elec,population
Afghanistan,108.7813795263117,1.1117727272727274,0.20772180404545457,47398285017.09091,80.69424889304422,19.3057524507696,30396326.545454547
Albania,2363.3361483487215,1.2535909090909092,1.5719617119090907,26624634293.045456,98.98080964521928,1.0191897695714778,2963082.0454545454
Algeria,1407.0617342862215,1.3980454545454546,3.5173473682727274,453587184385.0455,0.7549832314252853,99.2450162714178,37732384.04545455
Angola,281.032281702215,0.7473636363636363,0.8494514646818182,117989156043.45454,70.13312582536177,29.86687404459173,25253706.772727273
Argentina,3167.8511297052555,0.5251363636363636,4.167413104681819,735114235822.4546,28.473861174149945,65.56738610701127,41864696.0
Armenia,2041.2982288707387,1.3540454545454546,1.761445002090909,27661246059.31818,31.048359524119984,35.29932819713246,2950518.8636363638
Australia,10993.119318181818,0.8818636363636364,17.51240227318182,1032368918846.909,13.86419864134355,86.13579975474964,22710846.40909091
Austria,8179.67207475142,1.6597727272727274,8.242806629772728,344396141287.4545,72.3665943145752,27.63340577212247,8498178.545454545
Azerbaijan,2445.5516357421875,1.4425454545454546,3.5663237680909092,125607874859.27272,9.274890877983786,90.72511014071378,9316384.363636363
Bahrain,20614.401811079544,1.6352727272727272,24.478017460454545,40030020012.818184,0.028972485187378775,99.97102668068625,1200596.3181818181
Bangladesh,339.0775618119673,0.8984090909090909,0.3976900963636364,475305484467.5455,2.7029144005341963,97.29708688909358,154026870.0
Barbados,3685.547762784091,1.077590909090909,5.217009631045454,3427065043.4545455,1.5850174210288308,98.41498322920366,274901.2727272727
Belarus,3842.273692737926,1.7101818181818182,6.292797652090909,155438350751.18182,1.0853293128311634,97.66550168124112,9534652.318181818
Belgium,8260.442360617897,1.519590909090909,10.01642643331818,419366323217.2273,12.014965582977641,36.983506029302426,10986489.545454545
Benin,105.63637854836203,1.0072727272727273,0.40319008040909093,20300959904.68182,0.30236664143475617,99.69763287630948,10385617.454545455
Bolivia,693.8204942183061,0.8358636363636364,1.5567941502727272,56836304783.40909,37.36164786598899,62.638351093639024,10430551.363636363
Bosnia and Herzegovina,4130.561612215909,1.4348636363636365,5.2753212885,36806646567.27273,37.596373384649105,62.403626528653234,3726744.772727273
Botswana,1688.5866588245738,0.5010454545454546,2.5220517840909094,26575278804.409092,0.08958621594038876,99.91041391546077,2076248.1818181819
Brazil,2796.661698774858,1.1106363636363636,2.2508192983181816,2671895229316.136,83.14867747913708,13.987670855088668,195297583.3181818
Bulgaria,5127.280828302557,1.3075454545454546,6.434321533545455,107508279784.59091,12.381596478548916,50.54600455544212,7360468.863636363
Burkina Faso,76.59602477333762,0.9670454545454544,0.16244301431818184,24060184918.31818,16.945268154144287,83.05473084883256,17135219.90909091
Cambodia,311.79549806768244,0.8098181818181818,0.5192834722272728,41236670486.77273,28.885520674965598,71.11447802456942,14863723.318181818
Cameroon,295.9015787298029,0.8365909090909092,0.3797283781818182,56679443115.40909,74.42617069591175,25.57382939078591,20898123.636363637
Canada,17176.175825639206,1.3638636363636365,16.238348006818182,1468982206972.9092,62.63380102677779,22.725169962102715,34842594.18181818
Central African Republic,33.33350164240057,0.684409090909091,0.04229586590909091,3760982239.0454545,89.6455192565918,10.354480309919877,4571356.0
Chad,16.64113140106201,0.8643181818181819,0.1175695260909091,18334334647.31818,2.4634848182851616,97.53651532259855,13213992.909090908
Chile,3812.8552579012785,0.25395454545454543,4.170998855045455,343257097334.4091,46.43614040721547,53.56385959278453,17549106.363636363
China,3494.686756480824,1.2452727272727273,6.116525444181818,15243867164816.682,21.052458329634234,76.21445187655362,1362433400.3181818
Colombia,1386.067049893466,0.9874090909090909,1.676287640318182,526408115606.63635,74.82395779002796,25.17604264346036,45549871.72727273
Comoros,94.99495454268022,0.8170454545454546,0.29481219163636363,1142145546.0454545,0.0,100.0,681471.8181818182
Costa Rica,2091.030340021307,0.8793181818181818,1.5877406000909091,58114798440.5,96.04384266246448,3.9561577263203533,4607767.136363637
Cote d'Ivoire,274.7950044111772,1.0612727272727271,0.37117214913636365,70610465171.0,28.527138883417305,71.47286276383834,23667876.454545453
Croatia,4277.313787286932,1.494818181818182,4.803117600227273,80994244813.18182,57.917040218006484,42.08296004208651,4195170.0
Cuba,1597.58525501598,0.9035454545454545,2.3247774351363635,73376503195.27272,4.303563952445984,95.69643575494939,11238521.318181818
Cyprus,4079.654208096591,1.1565,6.5962807482727275,26344726279.727272,5.281624833291227,94.71837581287731,1153246.7272727273
Czech Republic,6682.1611328125,1.5828636363636364,10.85834507559091,273874512950.22726,8.019347461787136,59.63740903680975,10438825.227272727
Democratic Republic of Congo,114.56717092340642,0.8965909090909091,0.04138256386363636,53712600076.318184,99.6210261258212,0.37897221608595405,74107401.72727273
Denmark,6533.643732244318,1.4917272727272726,7.893222202590909,249069764705.27274,46.03836627440019,53.96163402904164,5600544.2272727275
Djibouti,428.1680922074751,0.9075227272727272,0.46155075318181815,2159778634.6363635,3.1818181818181817,96.81818181818181,956834.8636363636
Dominica,1864.7624594948509,0.7246818181818182,2.2659302624545457,600172123.0,22.089425173672762,77.91057395935059,68709.36363636363
Dominican Republic,1650.5459650213068,0.8280909090909091,2.220031879181818,117719893430.81818,12.393717657436024,87.60628162730823,9999345.5
Ecuador,1400.9481672807174,0.909590909090909,2.2621249556363634,143998978316.86365,60.510330720381305,39.48966910622337,15431031.681818182
Egypt,1589.194735440341,1.0011818181818182,2.19954728,930434043761.591,11.288455269553445,88.7115433432839,93047371.5
El Salvador,1032.6155423251066,0.7010000000000001,1.0598874390454545,46030980507.454544,64.56432463906027,35.43567427721891,6110833.5
Equatorial Guinea,461.3577554876154,0.8296818181818182,4.8632320925,23182015398.363636,22.74038863182068,77.2596109563654,1275000.5909090908
Estonia,7006.848388671875,1.7692727272727273,12.2041458225,32101889412.590908,12.307557097890161,87.6924435008656,1338053.1818181819
Eswatini,1309.24462890625,0.6435681818181819,0.9091367883636363,7542058459.954545,95.58481875332919,4.415181756019592,1124777.6818181819
Ethiopia,72.08065024289218,0.8954545454545454,0.09785052645454546,130916076442.5,99.54732929576527,0.45267101580446417,95495189.31818181
Finland,16365.21670809659,1.7284090909090908,10.033483007681818,203476345030.31818,37.65321445465088,30.725239060141824,5386829.7727272725
France,7947.737748579545,1.4671363636363637,5.694602185954546,2386934743201.727,15.413600661537863,9.694110003384678,63601623.63636363
Gabon,1218.8407204367898,0.832590909090909,3.245910070318182,25772935998.31818,48.84865899519487,51.151341524991125,1836546.1818181819
Georgia,2612.341941139915,1.1881363636363635,1.9757712021818181,45729210108.454544,81.66886693781072,18.331134384328667,3903746.227272727
Germany,7183.193359375,1.5603181818181817,9.831708800045455,3396089556473.909,23.01617104356939,58.10259229486639,82118365.95454545
Ghana,418.3084286776456,0.9496363636363636,0.4221810521818182,89277459865.59091,59.62514253096147,40.374858075922184,26525090.454545453
Greece,5552.150945490057,1.0491363636363635,8.154870532,263768510167.0,20.615257371555675,79.38474256342107,10884576.863636363
