,count,mean,std,min,25%,50%,75%,max
year,4994.0,2011.215859030837,7.9085665191040455,1991.0,2005.0,2011.0,2018.0,2024.0
population,4994.0,36073613.66559872,136358697.60290325,1776.0,1860651.25,7313838.0,24541730.0,1450935785.0
gdp,3863.0,557807898635.8134,1903249192795.7214,312853560.0,24201050624.0,80388156000.0,335793125444.5,26966016991166.0
electricity_demand_per_capita,4994.0,3833.0573920313723,5324.750409460847,0.0,519.8945617675781,2171.8018798828125,5214.2249755859375,56048.7265625
electricity_demand,4994.0,113.10654771921006,517.6563950599242,0.0,1.3124999701976776,9.765000343322754,52.72249984741211,10069.8798828125
electricity_generation,4994.0,113.24190831775667,517.3894273709965,0.0,0.9700000286102296,9.734999656677246,52.3075008392334,10086.8798828125
energy_per_capita,4887.0,25868.042327414074,33874.73222659303,101.88125610351562,3505.173583984375,14701.6552734375,34549.986328125,270980.625
energy_per_gdp,3863.0,1.3799161353152618,0.9639360571945456,0.0783661529421806,0.7580994665622711,1.1464827060699463,1.7585394978523254,10.14087200164795
fossil_share_elec,4968.0,62.67913497852359,34.04849892878681,0.0,35.99011039733887,69.85865020751953,95.87898826599123,100.0
renewables_share_elec,4968.0,32.72346416049825,33.02607403375723,0.0,3.1014373898506165,20.297706604003906,57.33800220489502,100.0
net_elec_imports_share_demand,4970.0,0.9698775995489242,44.86217534369111,-772.5938110351562,-0.08633886091411107,0.0,3.3692069053649902,100.0
co2,4994.0,162.89339863778477,769.7209474249642,0.003664,1.993216038,11.104067324999999,62.3638076775,12289.03711
co2_per_capita,4994.0,4.924187736320385,6.19818076365071,0.020765217,0.7782490547500001,3.118224263,6.77369046225,67.72694397
co2_per_gdp,3863.0,0.29087735746078175,0.2153994188153989,0.027935321,0.150517546,0.234821796,0.36313273,2.150994301
co2_per_unit_energy,4887.0,0.22072515141682017,0.0911210869439838,0.035245065,0.18036247049999998,0.212764204,0.2454593255,1.695214868
consumption_co2,3001.0,251.98627124238456,883.9769566982314,0.170160756,11.0003767,43.76780319,159.657547,10857.02539
consumption_co2_per_capita,3001.0,6.633181801491835,6.810110485590849,0.040240213,1.341925859,4.634489536,9.718380928,44.90039825
temperature_change_from_co2,4994.0,0.004967788527232679,0.018962571027770554,-4.1e-05,0.00016974075000000002,0.0008660245,0.002485093,0.246917069
temperature_change_from_ghg,4994.0,0.007000178762915499,0.024255700154677817,2.77e-07,0.0003295905,0.0014761085,0.00404330975,0.296245903
temperature_change_c,4810.0,1.091931392931393,0.592823619210116,-1.235,0.6882499999999999,1.018,1.4275,3.697
