,electricity_demand_per_capita,temperature_change_c,co2_per_capita,gdp,renewables_share_elec,fossil_share_elec,population
electricity_demand_per_capita,1.0,0.2099907931340285,0.6426314170698403,0.13236608876293482,-0.022120427372336656,-0.06397982907702392,-0.04137949105199905
temperature_change_c,0.2099907931340285,1.0,0.2171883410884365,0.040530284450946856,-0.11681416504475459,0.028592938737266694,-0.030196127580805778
co2_per_capita,0.6426314170698403,0.2171883410884365,1.0,0.16368120188662585,-0.3359088691318631,0.27804449290930444,-0.0200294091119933
gdp,0.13236608876293482,0.040530284450946856,0.16368120188662585,1.0,-0.10716345993553038,0.05366462386537607,0.7302867010157716
renewables_share_elec,-0.022120427372336656,-0.11681416504475459,-0.3359088691318631,-0.10716345993553038,1.0,-0.9229364153866824,-0.06898494444690773
fossil_share_elec,-0.06397982907702392,0.028592938737266694,0.27804449290930444,0.05366462386537607,-0.9229364153866824,1.0,0.06552972452455356
population,-0.04137949105199905,-0.030196127580805778,-0.0200294091119933,0.7302867010157716,-0.06898494444690773,0.06552972452455356,1.0
